,Date,monthly_return_per,president
95,1879-01-31,3.7681159420289823,Rutherford B. Hayes
96,1879-02-28,3.631284916201114,Rutherford B. Hayes
97,1879-03-31,-1.617250673854449,Rutherford B. Hayes
98,1879-04-30,3.2876712328767157,Rutherford B. Hayes
99,1879-05-31,4.509283819628646,Rutherford B. Hayes
100,1879-06-30,0.5076142131979701,Rutherford B. Hayes
101,1879-07-31,2.020202020202022,Rutherford B. Hayes
102,1879-08-31,0.7425742574257487,Rutherford B. Hayes
103,1879-09-30,3.6855036855036722,Rutherford B. Hayes
104,1879-10-31,10.90047393364929,Rutherford B. Hayes
105,1879-11-30,5.341880341880342,Rutherford B. Hayes
106,1879-12-31,-0.20283975659228778,Rutherford B. Hayes
107,1880-01-31,3.861788617886187,Rutherford B. Hayes
108,1880-02-29,1.76125244618395,Rutherford B. Hayes
109,1880-03-31,1.9230769230769162,Rutherford B. Hayes
110,1880-04-30,-2.264150943396228,Rutherford B. Hayes
111,1880-05-31,-7.915057915057918,Rutherford B. Hayes
112,1880-06-30,0.4192872117400517,Rutherford B. Hayes
113,1880-07-31,4.592901878914399,Rutherford B. Hayes
114,1880-08-31,3.5928143712574974,Rutherford B. Hayes
115,1880-09-30,-0.19267822736032128,Rutherford B. Hayes
116,1880-10-31,2.895752895752903,Rutherford B. Hayes
117,1880-11-30,5.253283302063794,Rutherford B. Hayes
118,1880-12-31,4.099821746880562,Rutherford B. Hayes
119,1881-01-31,5.993150684931516,Rutherford B. Hayes
120,1881-02-28,-0.32310177705978127,Rutherford B. Hayes
121,1881-03-31,1.1345218800648345,Rutherford B. Hayes
122,1881-04-30,-0.3205128205128279,James A. Garfield
123,1881-05-31,4.5016077170418045,James A. Garfield
124,1881-06-30,1.2307692307692317,James A. Garfield
125,1881-07-31,-3.495440729483289,James A. Garfield
126,1881-08-31,-2.3622047244094406,James A. Garfield
127,1881-09-30,0.8064516129032229,James A. Garfield
128,1881-10-31,-1.5999999999999945,Chester A. Arthur
129,1881-11-30,0.6504065040650412,Chester A. Arthur
130,1881-12-31,-2.9079159935379737,Chester A. Arthur
131,1882-01-31,-1.4975041597337746,Chester A. Arthur
132,1882-02-28,-2.1959459459459443,Chester A. Arthur
133,1882-03-31,-0.17271157167529858,Chester A. Arthur
134,1882-04-30,0.0,Chester A. Arthur
135,1882-05-31,-1.2110726643598664,Chester A. Arthur
136,1882-06-30,-0.5253940455341549,Chester A. Arthur
137,1882-07-31,5.633802816901413,Chester A. Arthur
138,1882-08-31,2.9999999999999956,Chester A. Arthur
139,1882-09-30,0.9708737864077751,Chester A. Arthur
140,1882-10-31,-2.724358974358973,Chester A. Arthur
141,1882-11-30,-4.283360790774311,Chester A. Arthur
142,1882-12-31,0.5163511187607616,Chester A. Arthur
143,1883-01-31,-0.5136986301369906,Chester A. Arthur
144,1883-02-28,-2.2375215146299468,Chester A. Arthur
145,1883-03-31,1.2323943661971881,Chester A. Arthur
146,1883-04-30,2.086956521739132,Chester A. Arthur
147,1883-05-31,-1.7035775127768402,Chester A. Arthur
148,1883-06-30,0.8665511265164769,Chester A. Arthur
149,1883-07-31,-1.546391752577317,Chester A. Arthur
150,1883-08-31,-4.537521815008738,Chester A. Arthur
151,1883-09-30,1.0968921389396802,Chester A. Arthur
152,1883-10-31,-2.712477396021706,Chester A. Arthur
153,1883-11-30,1.4869888475836444,Chester A. Arthur
154,1883-12-31,-2.1978021978021998,Chester A. Arthur
155,1884-01-31,-2.996254681647943,Chester A. Arthur
156,1884-02-29,2.702702702702714,Chester A. Arthur
157,1884-03-31,-0.3759398496240688,Chester A. Arthur
158,1884-04-30,-4.528301886792456,Chester A. Arthur
159,1884-05-31,-8.102766798418958,Chester A. Arthur
160,1884-06-30,-4.086021505376352,Chester A. Arthur
161,1884-07-31,0.0,Chester A. Arthur
162,1884-08-31,6.278026905829602,Chester A. Arthur
163,1884-09-30,-3.1645569620253235,Chester A. Arthur
164,1884-10-31,-3.2679738562091387,Chester A. Arthur
165,1884-11-30,-2.0270270270270436,Chester A. Arthur
166,1884-12-31,-0.2298850574712595,Chester A. Arthur
167,1885-01-31,-2.30414746543778,Chester A. Arthur
168,1885-02-28,3.066037735849054,Chester A. Arthur
169,1885-03-31,0.2288329519450752,Chester A. Arthur
170,1885-04-30,-0.22831050228310015,Grover Cleveland
171,1885-05-31,-1.1441647597253963,Grover Cleveland
172,1885-06-30,-0.4629629629629736,Grover Cleveland
173,1885-07-31,3.720930232558143,Grover Cleveland
174,1885-08-31,5.605381165919283,Grover Cleveland
175,1885-09-30,-1.273885350318463,Grover Cleveland
176,1885-10-31,5.806451612903216,Grover Cleveland
177,1885-11-30,6.504065040650413,Grover Cleveland
178,1885-12-31,-0.7633587786259549,Grover Cleveland
179,1886-01-31,0.0,Grover Cleveland
180,1886-02-28,1.9230769230769162,Grover Cleveland
181,1886-03-31,-2.075471698113197,Grover Cleveland
182,1886-04-30,-1.3487475915221634,Grover Cleveland
183,1886-05-31,-1.9531250000000104,Grover Cleveland
184,1886-06-30,4.581673306772918,Grover Cleveland
185,1886-07-31,1.5238095238095253,Grover Cleveland
186,1886-08-31,0.7504690431519707,Grover Cleveland
187,1886-09-30,2.607076350093104,Grover Cleveland
188,1886-10-31,2.540834845735038,Grover Cleveland
189,1886-11-30,2.4778761061946843,Grover Cleveland
190,1886-12-31,-2.5906735751295398,Grover Cleveland
191,1887-01-31,-1.0638297872340359,Grover Cleveland
192,1887-02-28,-0.7168458781362014,Grover Cleveland
193,1887-03-31,2.346570397111911,Grover Cleveland
194,1887-04-30,2.2927689594356244,Grover Cleveland
195,1887-05-31,1.7241379310344922,Grover Cleveland
196,1887-06-30,-2.8813559322033884,Grover Cleveland
197,1887-07-31,-2.4432809773124005,Grover Cleveland
198,1887-08-31,-2.5044722719141266,Grover Cleveland
199,1887-09-30,-1.2844036697247758,Grover Cleveland
200,1887-10-31,-3.345724907063192,Grover Cleveland
201,1887-11-30,1.9230769230769162,Grover Cleveland
202,1887-12-31,-0.5660377358490614,Grover Cleveland
203,1888-01-31,0.7590132827324485,Grover Cleveland
204,1888-02-29,-0.5649717514124174,Grover Cleveland
205,1888-03-31,-3.7878787878787907,Grover Cleveland
206,1888-04-30,0.3937007874015664,Grover Cleveland
207,1888-05-31,1.372549019607849,Grover Cleveland
208,1888-06-30,-3.094777562862672,Grover Cleveland
209,1888-07-31,2.594810379241515,Grover Cleveland
210,1888-08-31,2.1400778210116793,Grover Cleveland
211,1888-09-30,2.476190476190474,Grover Cleveland
212,1888-10-31,-0.5576208178438709,Grover Cleveland
213,1888-11-30,-2.0560747663551298,Grover Cleveland
214,1888-12-31,-1.9083969465648956,Grover Cleveland
215,1889-01-31,1.9455252918288042,Grover Cleveland
216,1889-02-28,1.1450381679389239,Grover Cleveland
217,1889-03-31,-2.075471698113197,Grover Cleveland
218,1889-04-30,-0.19267822736032128,Benjamin Harrison
219,1889-05-31,2.702702702702714,Benjamin Harrison
220,1889-06-30,1.6917293233082678,Benjamin Harrison
221,1889-07-31,-2.0332717190388228,Benjamin Harrison
222,1889-08-31,1.3207547169811376,Benjamin Harrison
223,1889-09-30,2.420856610800743,Benjamin Harrison
224,1889-10-31,-1.818181818181812,Benjamin Harrison
225,1889-11-30,-0.925925925925939,Benjamin Harrison
226,1889-12-31,-0.5607476635513899,Benjamin Harrison
227,1890-01-31,1.1278195488721732,Benjamin Harrison
228,1890-02-28,-1.1152416356877253,Benjamin Harrison
229,1890-03-31,-0.7518796992481209,Benjamin Harrison
230,1890-04-30,2.0833333333333224,Benjamin Harrison
231,1890-05-31,4.267161410018561,Benjamin Harrison
232,1890-06-30,-0.7117437722419936,Benjamin Harrison
233,1890-07-31,-0.7168458781362014,Benjamin Harrison
234,1890-08-31,-2.346570397111911,Benjamin Harrison
235,1890-09-30,-1.6635859519408478,Benjamin Harrison
236,1890-10-31,-4.5112781954887256,Benjamin Harrison
237,1890-11-30,-7.283464566929136,Benjamin Harrison
238,1890-12-31,-2.3354564755838707,Benjamin Harrison
239,1891-01-31,5.2173913043478315,Benjamin Harrison
240,1891-02-28,1.2396694214876136,Benjamin Harrison
241,1891-03-31,-1.8367346938775662,Benjamin Harrison
242,1891-04-30,3.3264033264033293,Benjamin Harrison
243,1891-05-31,-0.4024144869215206,Benjamin Harrison
244,1891-06-30,-2.020202020202031,Benjamin Harrison
245,1891-07-31,-1.6494845360824757,Benjamin Harrison
246,1891-08-31,3.3542976939203384,Benjamin Harrison
247,1891-09-30,8.113590263691691,Benjamin Harrison
248,1891-10-31,0.0,Benjamin Harrison
249,1891-11-30,-1.5009380863039414,Benjamin Harrison
250,1891-12-31,3.0476190476190506,Benjamin Harrison
251,1892-01-31,1.8484288354898273,Benjamin Harrison
252,1892-02-29,0.1814882032667838,Benjamin Harrison
